2026-07-22 22:17:41,867 | INFO     | cv_module.events | Событие evt_026592: person (0.66)
2026-07-22 22:17:41,872 | INFO     | cv_module.events | Событие evt_026593: smoke (0.94)
2026-07-22 22:17:41,876 | INFO     | cv_module.events | Событие evt_026594: smoke (0.51)
2026-07-22 22:17:41,880 | INFO     | cv_module.events | Событие evt_026595: water (0.46)
2026-07-22 22:17:41,954 | INFO     | cv_module.events | Событие evt_026596: person (0.24)
2026-07-22 22:17:41,958 | INFO     | cv_module.events | Событие evt_026597: smoke (0.95)
2026-07-22 22:17:42,030 | INFO     | cv_module.events | Событие evt_026598: vehicle (0.09)
2026-07-22 22:17:42,034 | INFO     | cv_module.events | Событие evt_026599: smoke (0.51)
2026-07-22 22:17:42,037 | INFO     | cv_module.events | Событие evt_026600: water (0.46)
2026-07-22 22:17:42,181 | INFO     | cv_module.events | Событие evt_026601: person (0.24)
2026-07-22 22:17:42,185 | INFO     | cv_module.events | Событие evt_026602: smoke (0.50)
2026-07-22 22:17:42,189 | INFO     | cv_module.events | Событие evt_026603: water (0.46)
2026-07-22 22:17:42,261 | INFO     | cv_module.events | Событие evt_026604: vehicle (0.63)
2026-07-22 22:17:42,265 | INFO     | cv_module.events | Событие evt_026605: smoke (0.95)
2026-07-22 22:17:42,269 | INFO     | cv_module.events | Событие evt_026606: smoke (0.51)
2026-07-22 22:17:42,334 | INFO     | cv_module.events | Событие evt_026607: person (0.79)
2026-07-22 22:17:42,338 | INFO     | cv_module.events | Событие evt_026608: vehicle (0.17)
2026-07-22 22:17:42,408 | INFO     | cv_module.events | Событие evt_026609: vehicle (0.07)
2026-07-22 22:17:42,413 | INFO     | cv_module.events | Событие evt_026610: smoke (0.97)
2026-07-22 22:17:42,487 | INFO     | cv_module.events | Событие evt_026611: person (0.12)
2026-07-22 22:17:42,491 | INFO     | cv_module.events | Событие evt_026612: smoke (0.50)
2026-07-22 22:17:42,637 | INFO     | cv_module.events | Событие evt_026613: person (0.68)
2026-07-22 22:17:42,641 | INFO     | cv_module.events | Событие evt_026614: vehicle (0.09)
2026-07-22 22:17:42,645 | INFO     | cv_module.events | Событие evt_026615: no_helmet (0.85)
2026-07-22 22:17:42,649 | INFO     | cv_module.events | Событие evt_026616: water (0.47)
2026-07-22 22:17:42,722 | INFO     | cv_module.events | Событие evt_026617: vehicle (0.07)
2026-07-22 22:17:42,726 | INFO     | cv_module.events | Событие evt_026618: smoke (0.50)
2026-07-22 22:17:42,730 | INFO     | cv_module.events | Событие evt_026619: water (0.47)
2026-07-22 22:17:42,801 | INFO     | cv_module.events | Событие evt_026620: person (0.86)
2026-07-22 22:17:42,805 | INFO     | cv_module.events | Событие evt_026621: vehicle (0.17)
2026-07-22 22:17:42,809 | INFO     | cv_module.events | Событие evt_026622: smoke (0.50)
2026-07-22 22:17:42,812 | INFO     | cv_module.events | Событие evt_026623: smoke (0.50)
2026-07-22 22:17:42,816 | INFO     | cv_module.events | Событие evt_026624: smoke (0.51)
2026-07-22 22:17:42,891 | INFO     | cv_module.events | Событие evt_026625: vehicle (0.63)
2026-07-22 22:17:42,895 | INFO     | cv_module.events | Событие evt_026626: person (0.16)
2026-07-22 22:17:42,899 | INFO     | cv_module.events | Событие evt_026627: person (0.07)
2026-07-22 22:17:42,903 | INFO     | cv_module.events | Событие evt_026628: smoke (0.51)
2026-07-22 22:17:42,971 | INFO     | cv_module.events | Событие evt_026629: person (0.83)
2026-07-22 22:17:42,976 | INFO     | cv_module.events | Событие evt_026630: vehicle (0.19)
2026-07-22 22:17:42,979 | INFO     | cv_module.events | Событие evt_026631: no_helmet (0.86)
2026-07-22 22:17:42,983 | INFO     | cv_module.events | Событие evt_026632: smoke (0.95)
2026-07-22 22:17:42,987 | INFO     | cv_module.events | Событие evt_026633: smoke (0.53)
2026-07-22 22:17:42,990 | INFO     | cv_module.events | Событие evt_026634: water (0.49)
2026-07-22 22:17:43,134 | INFO     | cv_module.events | Событие evt_026635: person (0.89)
2026-07-22 22:17:43,139 | INFO     | cv_module.events | Событие evt_026636: smoke (0.51)
2026-07-22 22:17:43,143 | INFO     | cv_module.events | Событие evt_026637: smoke (0.50)
2026-07-22 22:17:43,147 | INFO     | cv_module.events | Событие evt_026638: smoke (0.51)
2026-07-22 22:17:43,151 | INFO     | cv_module.events | Событие evt_026639: smoke (0.96)
2026-07-22 22:17:43,222 | INFO     | cv_module.events | Событие evt_026640: vehicle (0.11)
2026-07-22 22:17:43,226 | INFO     | cv_module.events | Событие evt_026641: smoke (0.51)
2026-07-22 22:17:43,229 | INFO     | cv_module.events | Событие evt_026642: smoke (0.50)
2026-07-22 22:17:43,233 | INFO     | cv_module.events | Событие evt_026643: water (0.49)
2026-07-22 22:17:43,310 | INFO     | cv_module.events | Событие evt_026644: vehicle (0.09)
2026-07-22 22:17:43,315 | INFO     | cv_module.events | Событие evt_026645: smoke (0.50)
